rank,job,expert_dr,dataset_dr,interface_noise,robust_score,dr_mean_survival,dr_worst_survival,dr_mean_return,dr_mean_tracking_error,V0_return,V0_length,V0_survival,V0_xy_error,V0_yaw_error,V0_terminated,V0_action_abs,V1_return,V1_length,V1_survival,V1_xy_error,V1_yaw_error,V1_terminated,V1_action_abs,V2_return,V2_length,V2_survival,V2_xy_error,V2_yaw_error,V2_terminated,V2_action_abs,V3_return,V3_length,V3_survival,V3_xy_error,V3_yaw_error,V3_terminated,V3_action_abs,checkpoint_path
11,E1D0P1,friend_half,default,action_noise,49.36511496350884,0.6713888888888889,0.014166666666666666,92.61750668621912,0.09473305816451709,141.95234783033084,2400.0,1.0,0.03785442188382149,0.029893966391682625,0,0.37914923251916965,141.21854871114397,2400.0,1.0,0.04063621535897255,0.034626878798007965,0,0.3882600538680951,140.83164923413835,2400.0,1.0,0.04278106987476349,0.04294349253177643,0,0.3858559560279051,-4.197677886624963,34.0,0.014166666666666666,0.054009705781936646,0.06920181214809418,12,0.4024777103215456,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D0/P1/run/step48828
12,E0D1P2,default,friend_half,obs_noise,49.155704710741674,0.5231012426900585,0.23717653508771933,70.45112014143156,0.083590983102719,144.80086609282444,2400.0,1.0,0.027273375540971756,0.02947326935827732,0,0.3593153252452612,41.218458768640474,797.1052631578947,0.33212719298245613,0.0387529656291008,0.03735992684960365,114,0.3680034751445055,143.408933686944,2400.0,1.0,0.03284056484699249,0.03667886182665825,0,0.3625381362810731,26.7259679687102,569.2236842105264,0.23717653508771933,0.04649427533149719,0.05864635482430458,76,0.37388070753465097,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D1/P2/run/step48828
13,E1D1P0,friend_half,friend_half,none,46.14030798051936,0.5219708994708995,0.14263888888888887,70.59223506173456,0.08066428576906522,144.8739174914008,2400.0,1.0,0.02970108576118946,0.023502930998802185,0,0.3668061351776123,54.711127667953924,1015.8571428571429,0.42327380952380955,0.038359977304935455,0.032220013439655304,7,0.37391090247159203,143.60597535531826,2400.0,1.0,0.035008665174245834,0.03344898298382759,0,0.3699943001071612,13.459602161931494,342.3333333333333,0.14263888888888887,0.04660593345761299,0.05634928494691849,18,0.3809707583238681,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D1/P0/run/step48828
14,E0D2P2,default,friend_full,obs_noise,45.22592928506991,0.5093171296296296,0.18263888888888888,67.2410589208336,0.1012766882777214,140.9231406289764,2400.0,1.0,0.03670034930109978,0.04335872083902359,0,0.3943531676133474,42.62261800317295,828.75,0.3453125,0.04440003260970116,0.049296386539936066,48,0.4005063283008834,140.1801927861128,2400.0,1.0,0.040726643055677414,0.050242550671100616,0,0.39495244522889456,18.92036597321502,438.3333333333333,0.18263888888888888,0.05148519575595856,0.0676792562007904,45,0.40324013251811264,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D2/P2/run/step48828
15,E2D1P1,friend_full,friend_half,action_noise,43.80509894491568,0.46949593979005744,0.14712418300653596,63.42556116770041,0.07496394962072372,145.43269022028835,2400.0,1.0,0.02586989849805832,0.02540191449224949,0,0.3607174787359933,31.493007067934908,627.2727272727273,0.26136363636363635,0.03206035494804382,0.03129836171865463,11,0.36761995378881696,144.72682596464983,2400.0,1.0,0.030104942619800568,0.033154115080833435,0,0.36384195848678547,14.056850470516485,353.0980392156863,0.14712418300653596,0.04348805174231529,0.05478602275252342,51,0.3735979447886348,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D1/P1/run/step48828
16,E1D2P1,friend_half,friend_full,action_noise,43.136909541260906,0.4811343915343915,0.20213333333333333,61.91688482263628,0.12347813074787457,138.6843284623701,2400.0,1.0,0.052369412034749985,0.05176931247115135,0,0.39655821189905205,21.567730478874292,485.12,0.20213333333333333,0.05842292308807373,0.05669897794723511,100,0.4027845841832459,138.05447102374194,2400.0,1.0,0.055421773344278336,0.057831376791000366,0,0.3973052912702163,26.128452965292603,579.047619047619,0.24126984126984127,0.06425543874502182,0.07780390232801437,21,0.4042595947533846,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D2/P1/run/step48828
17,E2D2P1,friend_full,friend_full,action_noise,40.043701012238174,0.4289849887766554,0.13689814814814813,57.03520380393419,0.09225436796744664,143.68890349326648,2400.0,1.0,0.04056841507554054,0.035613056272268295,0,0.36281462365761397,13.745627424679697,328.55555555555554,0.13689814814814813,0.04280540347099304,0.040374111384153366,9,0.3671280654023091,143.30884104227766,2400.0,1.0,0.04273886978626251,0.04083721712231636,0,0.36562983999649684,14.051142944845196,360.1363636363636,0.15005681818181818,0.0510893240571022,0.05891817808151245,22,0.37751474433888993,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D2/P1/run/step48828
18,E0D2P1,default,friend_full,action_noise,39.41855476190524,0.38004552403425357,0.23437905844155846,45.483466340413464,0.10916838174064954,31.453295384844143,660.1666666666666,0.2750694444444444,0.039240386337041855,0.04235248267650604,6,0.40195056253423295,25.557166845025666,562.5097402597403,0.23437905844155846,0.051985111087560654,0.06109510362148285,308,0.4143955377240976,74.90850896709831,1418.4,0.5910000000000001,0.04303734004497528,0.0481959767639637,25,0.4024521215260029,35.98472320911641,755.4180327868852,0.31475751366120214,0.053748879581689835,0.0694427341222763,122,0.4088934408004085,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E0/D2/P1/run/step48828
19,E2D2P0,friend_full,friend_full,none,39.04087209469106,0.4177595029239766,0.12119517543859648,55.36186786618524,0.08991418530543645,142.8728033510979,2400.0,1.0,0.03530913591384888,0.031969886273145676,0,0.37464142456650734,11.886444855504363,290.86842105263156,0.12119517543859648,0.039891161024570465,0.04058228060603142,38,0.37862994325036803,142.2064598223708,2400.0,1.0,0.03931418061256409,0.04033641517162323,0,0.37574039204667015,11.992698920680567,317.0,0.13208333333333333,0.04914719983935356,0.060471318662166595,33,0.3841869642585516,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E2/D2/P0/run/step48828
20,E1D0P3,friend_half,default,action_obs_noise,38.74435916315212,0.4222764227642276,0.11307926829268292,54.8995910604026,0.09055696551998456,141.9081592702637,2400.0,1.0,0.030906258150935173,0.03122667968273163,0,0.37916522172590095,15.035700168649782,369.0,0.15375,0.03446386754512787,0.034824784845113754,3,0.3897386814157168,140.72761417586503,2400.0,1.0,0.03734368458390236,0.04347649961709976,0,0.38814924788971744,8.935458836692993,271.390243902439,0.11307926829268292,0.05259960517287254,0.0689624547958374,41,0.4069811424364646,/data1/xjy/unitree_rl_mjlab_normal_fixstand_v2/logs/experiments/go2_normal_dr_3x3x4/normal_go2_fixstand_v2_moderate_seed0_20260712/policies/E1/D0/P3/run/step48828
